구명,서비스_업종_코드_명,매출_20대,매출_30대,매출_40대,매출_50대,매출_60대이상
강남구,분식전문점,69514618.66304348,133229590.05978261,151627672.0271739,124382189.125,69599048.36956522
강남구,양식음식점,203924310.96842104,442444570.1631579,296783047.4368421,205541985.84210527,111345901.9736842
강남구,일식음식점,132235966.32820512,275310187.1128205,174295970.52820513,121877555.78974359,81436518.06666666
강남구,중식음식점,158222355.36774194,265352994.81290323,203450315.08387098,164915605.1032258,114374885.17419355
강남구,치킨전문점,25239160.762962963,58428338.46666667,62411233.20740741,56771241.31851852,28448390.407407407
강남구,커피-음료,198382266.61488673,363695662.8317152,244451229.7669903,167217298.47249192,86705572.58899677
강남구,패스트푸드점,59805038.68874172,103003573.06622517,96325467.74172185,72242121.41059603,31152809.827814568
강남구,한식음식점,416883510.6466877,1014127373.2082019,846829824.6876972,721398025.3722397,581255705.3817035
강동구,분식전문점,45941992.488372095,82453002.08527131,148254177.17054263,108158106.14728682,71268079.04651164
강동구,양식음식점,98189235.44186047,146553618.09302327,120522419.69767442,106050653.41860466,62258656.093023255
강동구,일식음식점,68590862.88679245,116940700.4528302,105162138.81132075,83433911.47169812,63863486.9245283
강동구,중식음식점,19915690.987951808,46520014.1686747,42414312.77108434,36313925.638554215,29366444.180722892
강동구,치킨전문점,11645802.445544554,22558261.12871287,28719155.207920793,31584919.742574256,25161011.07920792
강동구,커피-음료,42997099.26630435,77505361.7771739,66764847.125,55657414.42934783,42711884.88586956
강동구,패스트푸드점,42114888.60273973,86639620.5890411,78631525.50684932,59653831.10958904,33217100.369863015
강동구,한식음식점,149433964.2857143,368366206.42410713,409187294.35714287,452172688.98214287,493575129.8035714
강북구,분식전문점,12776361.163636364,22313094.79090909,31069249.227272727,42667162.054545455,34511665.554545455
강북구,양식음식점,32083550.083333332,63804816.916666664,85766778.5,57040402.416666664,22782548.0
강북구,일식음식점,73697928.05555555,91530692.33333333,70891502.66666667,70620242.5,47712993.55555555
강북구,중식음식점,18266485.472222224,25853476.111111112,30848756.055555556,30983320.25,28365190.333333332
강북구,치킨전문점,8248034.461538462,15679791.876923077,18111287.83076923,22208061.63076923,16306632.846153846
강북구,커피-음료,30616477.25984252,39032025.68503937,31575990.409448817,36227237.65354331,26920915.31496063
강북구,패스트푸드점,40884033.03030303,51731050.57575758,44690345.36363637,40077289.333333336,21993448.363636363
강북구,한식음식점,128265555.4906542,231881391.95794392,240279923.49532712,314582400.14953274,322311383.92523366
강서구,분식전문점,21770010.12857143,44149955.942857146,48171725.442857146,47462554.99285714,36680835.08571429
강서구,양식음식점,16167347.166666666,53982191.833333336,58210336.666666664,28297329.833333332,12372906.555555556
강서구,일식음식점,39423199.743589744,77266184.8974359,57038447.102564104,49997993.179487176,40461962.84615385
강서구,중식음식점,18977709.346153848,44071467.20512821,48535605.961538464,39346301.93589743,27957483.423076924
강서구,치킨전문점,11676935.846153846,22845306.067307692,25061846.028846152,27351871.41346154,18282023.923076924
강서구,커피-음료,39080955.473684214,64227353.81871345,46695275.69005848,37548134.7251462,25466807.16374269
강서구,패스트푸드점,31978018.155172415,57140889.051724136,43443595.948275864,36869057.53448276,21959915.03448276
강서구,한식음식점,142170936.21673003,357044871.3460076,337011591.37262356,335709329.4144487,330152372.15589356
관악구,분식전문점,36906883.644295305,52359245.536912754,35822900.51006711,36510958.134228185,24127889.161073826
관악구,양식음식점,137966581.875,143271986.0,59861426.8125,54610754.03125,17733292.28125
관악구,일식음식점,122368270.90384616,124880132.21153846,58705153.25,63211757.48076923,35520343.98076923
관악구,중식음식점,39071339.85915493,45613046.042253524,27568096.61971831,32658210.492957745,20473675.070422534
관악구,치킨전문점,14994692.408163264,21700778.612244897,16670436.357142856,20961001.653061226,15199724.31632653
관악구,커피-음료,72554535.25925925,81767998.13580246,39234641.54938272,35440324.60493827,26469310.666666668
관악구,패스트푸드점,60030140.916666664,71279944.86666666,38198689.733333334,37603862.78333333,20717429.933333334
관악구,한식음식점,222522091.9809886,326546100.6958175,202864893.41825095,252333830.41064638,260721007.28136882
광진구,분식전문점,43828428.17164179,51871058.13432836,47461646.61940298,43152082.41044776,27470708.08955224
광진구,양식음식점,66997314.384615384,65727361.07692308,54355096.75,40437255.134615384,23508003.365384616
광진구,일식음식점,115514076.60869566,104412559.43478261,61495566.06521739,58725898.63043478,37049939.32608695
광진구,중식음식점,161568142.74603173,142573723.74603173,84965940.92063493,75492980.06349206,41555030.634920634
광진구,치킨전문점,24182500.197802197,23847181.945054945,15629231.626373626,19414093.076923076,13280660.274725275
광진구,커피-음료,108369607.69662921,95009290.36516854,60405227.359550565,60799779.73595506,38820870.81460674
광진구,패스트푸드점,55493754.81081081,46155879.66216216,32170477.391891893,31672847.93243243,15386512.635135135
광진구,한식음식점,304697326.646789,396554250.39908254,293609437.5229358,353965464.24311924,340662960.9495413
구로구,분식전문점,33870240.905172415,64034277.50862069,57331807.24137931,54168170.3362069,35797939.37931035
구로구,양식음식점,30078289.620689657,68920463.62068966,46841474.79310345,25704650.724137932,14988903.72413793
구로구,일식음식점,69159940.53488372,126040583.44186047,86795492.95348836,63521340.20930233,49729474.674418606
구로구,중식음식점,41078669.794117644,89025299.9509804,80208326.47058824,82533810.31372549,60500425.950980395
구로구,치킨전문점,9953334.746666666,20722160.493333332,22441531.213333335,27516209.69333333,20501452.68
구로구,커피-음료,55262041.92805755,99345086.10791367,66906435.83453237,50257509.76258993,32606588.65467626
구로구,패스트푸드점,85004624.296875,143085462.859375,79519158.609375,50262251.640625,29277423.625
구로구,한식음식점,182808035.72429907,399572764.8785047,320622748.86915886,364008691.8551402,374578200.92523366
금천구,분식전문점,36743647.64285714,76004816.2244898,63201468.12244898,62200276.67346939,35697885.591836736
금천구,양식음식점,130979700.5,287474100.25,245994852.75,141211288.875,57557737.875
금천구,일식음식점,125260033.94117647,238776829.70588234,140016036.05882353,102603698.41176471,53364795.0
금천구,중식음식점,51689497.71014493,111839000.79710145,87503659.79710145,78290281.71014492,49288386.56521739
금천구,치킨전문점,14767408.563380282,30524289.366197184,27958182.690140843,32191558.169014085,19870920.38028169
금천구,커피-음료,80935705.2347826,164350701.67826086,105675166.93043478,76281769.36521739,38718550.80869565
금천구,패스트푸드점,49062272.075,96830823.975,52880952.475,40505109.325,21002209.675
금천구,한식음식점,175268010.2797619,394106176.0952381,337916426.26785713,392832646.4166667,368908831.0119048
노원구,분식전문점,27144360.11403509,39164988.4122807,57033508.298245616,59820564.868421055,32679107.03508772
노원구,양식음식점,68879541.15151516,141238036.3939394,207546603.27272728,147087180.3939394,50632589.96969697
노원구,일식음식점,43802377.64864865,58847231.10810811,65799805.216216214,64010389.94594595,39285038.567567565
노원구,중식음식점,24860550.685714286,32231141.457142856,39716849.64285714,39491328.17142857,27982926.35714286
노원구,치킨전문점,22143012.377777778,26137939.266666666,33800113.277777776,39624583.244444445,23110560.666666668
노원구,커피-음료,90852858.86290322,96199370.33064516,81658006.67741935,80214558.77419356,47711988.98387097
