구명,연도,업종,총개수,폐업수,폐업률
강남구,2019,분식전문점,997,78,7.82
강남구,2019,양식음식점,2516,249,9.9
강남구,2019,일식음식점,938,96,10.23
강남구,2019,중식음식점,402,24,5.97
강남구,2019,치킨전문점,261,32,12.26
강남구,2019,커피-음료,1564,330,21.1
강남구,2019,한식음식점,5277,449,8.51
강남구,2020,분식전문점,1012,81,8.0
강남구,2020,양식음식점,2512,265,10.55
강남구,2020,일식음식점,955,94,9.84
강남구,2020,중식음식점,413,38,9.2
강남구,2020,치킨전문점,296,26,8.78
강남구,2020,커피-음료,1580,261,16.52
강남구,2020,한식음식점,5405,536,9.92
강남구,2021,분식전문점,1009,95,9.42
강남구,2021,양식음식점,2473,207,8.37
강남구,2021,일식음식점,1002,86,8.58
강남구,2021,중식음식점,417,38,9.11
강남구,2021,치킨전문점,318,39,12.26
강남구,2021,커피-음료,1622,211,13.01
강남구,2021,한식음식점,5383,531,9.86
강남구,2022,분식전문점,979,100,10.21
강남구,2022,양식음식점,2473,232,9.38
강남구,2022,일식음식점,1033,86,8.33
강남구,2022,중식음식점,424,37,8.73
강남구,2022,치킨전문점,323,43,13.31
강남구,2022,커피-음료,1728,275,15.91
강남구,2022,한식음식점,5359,476,8.88
강남구,2023,분식전문점,945,94,9.95
강남구,2023,양식음식점,2442,225,9.21
강남구,2023,일식음식점,1108,97,8.75
강남구,2023,중식음식점,447,36,8.05
강남구,2023,치킨전문점,343,36,10.5
강남구,2023,커피-음료,1773,308,17.37
강남구,2023,한식음식점,5487,587,10.7
강남구,2024,분식전문점,905,80,8.84
강남구,2024,양식음식점,2370,227,9.58
강남구,2024,일식음식점,1147,111,9.68
강남구,2024,중식음식점,473,58,12.26
강남구,2024,치킨전문점,346,47,13.58
강남구,2024,커피-음료,1802,323,17.92
강남구,2024,한식음식점,5494,532,9.68
강동구,2019,분식전문점,334,33,9.88
강동구,2019,양식음식점,126,15,11.9
강동구,2019,일식음식점,158,12,7.59
강동구,2019,중식음식점,144,10,6.94
강동구,2019,치킨전문점,511,44,8.61
강동구,2019,커피-음료,516,50,9.69
강동구,2019,한식음식점,2163,201,9.29
강동구,2020,분식전문점,350,30,8.57
강동구,2020,양식음식점,142,9,6.34
강동구,2020,일식음식점,181,12,6.63
강동구,2020,중식음식점,156,13,8.33
강동구,2020,치킨전문점,523,41,7.84
강동구,2020,커피-음료,580,66,11.38
강동구,2020,한식음식점,2180,177,8.12
강동구,2021,분식전문점,372,41,11.02
강동구,2021,양식음식점,175,20,11.43
강동구,2021,일식음식점,205,15,7.32
강동구,2021,중식음식점,162,10,6.17
강동구,2021,치킨전문점,536,52,9.7
강동구,2021,커피-음료,646,68,10.53
강동구,2021,한식음식점,2180,202,9.27
강동구,2022,분식전문점,362,47,12.98
강동구,2022,양식음식점,185,19,10.27
강동구,2022,일식음식점,214,35,16.36
강동구,2022,중식음식점,168,17,10.12
강동구,2022,치킨전문점,521,53,10.17
강동구,2022,커피-음료,696,81,11.64
강동구,2022,한식음식점,2140,261,12.2
강동구,2023,분식전문점,358,49,13.69
강동구,2023,양식음식점,201,34,16.92
강동구,2023,일식음식점,201,25,12.44
강동구,2023,중식음식점,170,17,10.0
강동구,2023,치킨전문점,508,53,10.43
강동구,2023,커피-음료,711,114,16.03
강동구,2023,한식음식점,2089,231,11.06
강동구,2024,분식전문점,348,41,11.78
강동구,2024,양식음식점,199,20,10.05
강동구,2024,일식음식점,209,29,13.88
강동구,2024,중식음식점,166,24,14.46
강동구,2024,치킨전문점,492,43,8.74
강동구,2024,커피-음료,679,83,12.22
강동구,2024,한식음식점,2077,202,9.73
강북구,2019,분식전문점,288,12,4.17
강북구,2019,양식음식점,78,5,6.41
강북구,2019,일식음식점,133,17,12.78
강북구,2019,중식음식점,83,8,9.64
강북구,2019,치킨전문점,482,39,8.09
강북구,2019,커피-음료,224,19,8.48
강북구,2019,한식음식점,1782,114,6.4
강북구,2020,분식전문점,305,24,7.87
강북구,2020,양식음식점,86,4,4.65
강북구,2020,일식음식점,122,8,6.56
강북구,2020,중식음식점,82,6,7.32
강북구,2020,치킨전문점,483,31,6.42
강북구,2020,커피-음료,252,24,9.52
강북구,2020,한식음식점,1812,99,5.46
강북구,2021,분식전문점,298,46,15.44
강북구,2021,양식음식점,101,24,23.76
강북구,2021,일식음식점,127,16,12.6
강북구,2021,중식음식점,86,7,8.14
강북구,2021,치킨전문점,473,74,15.64
강북구,2021,커피-음료,282,42,14.89
강북구,2021,한식음식점,1848,245,13.26
강북구,2022,분식전문점,260,25,9.62
강북구,2022,양식음식점,84,6,7.14
강북구,2022,일식음식점,113,12,10.62
강북구,2022,중식음식점,87,5,5.75
강북구,2022,치킨전문점,408,39,9.56
강북구,2022,커피-음료,264,36,13.64
강북구,2022,한식음식점,1672,118,7.06
강북구,2023,분식전문점,243,31,12.76
강북구,2023,양식음식점,84,9,10.71
강북구,2023,일식음식점,113,9,7.96
강북구,2023,중식음식점,87,9,10.34
강북구,2023,치킨전문점,383,41,10.7
강북구,2023,커피-음료,251,48,19.12
강북구,2023,한식음식점,1684,166,9.86
강북구,2024,분식전문점,235,24,10.21
강북구,2024,양식음식점,82,10,12.2
강북구,2024,일식음식점,122,9,7.38
강북구,2024,중식음식점,86,14,16.28
강북구,2024,치킨전문점,362,35,9.67
강북구,2024,커피-음료,245,31,12.65
강북구,2024,한식음식점,1693,157,9.27
강서구,2019,분식전문점,391,41,10.49
강서구,2019,양식음식점,416,47,11.3
강서구,2019,일식음식점,302,31,10.26
강서구,2019,중식음식점,208,17,8.17
강서구,2019,치킨전문점,501,53,10.58
강서구,2019,커피-음료,905,92,10.17
강서구,2019,한식음식점,3090,258,8.35
강서구,2020,분식전문점,369,29,7.86
강서구,2020,양식음식점,492,42,8.54
강서구,2020,일식음식점,336,44,13.1
강서구,2020,중식음식점,218,19,8.72
강서구,2020,치킨전문점,500,43,8.6
강서구,2020,커피-음료,997,112,11.23
강서구,2020,한식음식점,3375,296,8.77
강서구,2021,분식전문점,375,37,9.87
강서구,2021,양식음식점,587,76,12.95
강서구,2021,일식음식점,373,43,11.53
강서구,2021,중식음식점,240,21,8.75
강서구,2021,치킨전문점,483,46,9.52
강서구,2021,커피-음료,1100,133,12.09
강서구,2021,한식음식점,3494,373,10.68
강서구,2022,분식전문점,376,39,10.37
강서구,2022,양식음식점,615,80,13.01
강서구,2022,일식음식점,413,44,10.65
강서구,2022,중식음식점,251,29,11.55
강서구,2022,치킨전문점,474,56,11.81
강서구,2022,커피-음료,1137,146,12.84
강서구,2022,한식음식점,3521,363,10.31
강서구,2023,분식전문점,380,44,11.58
강서구,2023,양식음식점,608,80,13.16
강서구,2023,일식음식점,438,53,12.1
강서구,2023,중식음식점,261,23,8.81
강서구,2023,치킨전문점,453,59,13.02
강서구,2023,커피-음료,1163,177,15.22
강서구,2023,한식음식점,3582,408,11.39
강서구,2024,분식전문점,377,63,16.71
강서구,2024,양식음식점,584,122,20.89
강서구,2024,일식음식점,436,61,13.99
강서구,2024,중식음식점,271,30,11.07
강서구,2024,치킨전문점,430,91,21.16
강서구,2024,커피-음료,1120,216,19.29
강서구,2024,한식음식점,3567,618,17.33
관악구,2019,분식전문점,523,40,7.65
관악구,2019,양식음식점,374,37,9.89
관악구,2019,일식음식점,228,28,12.28
관악구,2019,중식음식점,158,12,7.59
관악구,2019,치킨전문점,673,72,10.7
관악구,2019,커피-음료,581,63,10.84
관악구,2019,한식음식점,2157,197,9.13
관악구,2020,분식전문점,554,51,9.21
관악구,2020,양식음식점,415,45,10.84
관악구,2020,일식음식점,232,14,6.03
관악구,2020,중식음식점,175,9,5.14
관악구,2020,치킨전문점,673,78,11.59
관악구,2020,커피-음료,628,77,12.26
관악구,2020,한식음식점,2254,198,8.78
관악구,2021,분식전문점,552,70,12.68
관악구,2021,양식음식점,437,58,13.27
관악구,2021,일식음식점,267,24,8.99
관악구,2021,중식음식점,197,21,10.66
관악구,2021,치킨전문점,647,63,9.74
관악구,2021,커피-음료,664,80,12.05
관악구,2021,한식음식점,2350,257,10.94
관악구,2022,분식전문점,502,58,11.55
관악구,2022,양식음식점,417,66,15.83
관악구,2022,일식음식점,282,41,14.54
관악구,2022,중식음식점,202,29,14.36
관악구,2022,치킨전문점,636,69,10.85
관악구,2022,커피-음료,683,93,13.62
관악구,2022,한식음식점,2319,249,10.74
관악구,2023,분식전문점,479,49,10.23
관악구,2023,양식음식점,398,59,14.82
관악구,2023,일식음식점,284,33,11.62
관악구,2023,중식음식점,208,22,10.58
관악구,2023,치킨전문점,602,67,11.13
관악구,2023,커피-음료,687,99,14.41
관악구,2023,한식음식점,2345,258,11.0
관악구,2024,분식전문점,449,53,11.8
관악구,2024,양식음식점,385,52,13.51
관악구,2024,일식음식점,289,41,14.19
관악구,2024,중식음식점,214,18,8.41
관악구,2024,치킨전문점,564,55,9.75
관악구,2024,커피-음료,695,121,17.41
관악구,2024,한식음식점,2459,302,12.28
광진구,2019,분식전문점,373,42,11.26
광진구,2019,양식음식점,262,26,9.92
광진구,2019,일식음식점,290,23,7.93
광진구,2019,중식음식점,245,24,9.8
광진구,2019,치킨전문점,686,62,9.04
광진구,2019,커피-음료,476,41,8.61
광진구,2019,한식음식점,1868,160,8.57
광진구,2020,분식전문점,370,44,11.89
광진구,2020,양식음식점,281,31,11.03
광진구,2020,일식음식점,312,27,8.65
광진구,2020,중식음식점,242,14,5.79
광진구,2020,치킨전문점,659,51,7.74
광진구,2020,커피-음료,563,69,12.26
광진구,2020,한식음식점,1897,144,7.59
광진구,2021,분식전문점,374,39,10.43
광진구,2021,양식음식점,285,26,9.12
광진구,2021,일식음식점,324,33,10.19
광진구,2021,중식음식점,250,12,4.8
광진구,2021,치킨전문점,642,60,9.35
광진구,2021,커피-음료,615,71,11.54
광진구,2021,한식음식점,1954,168,8.6
광진구,2022,분식전문점,371,38,10.24
광진구,2022,양식음식점,301,35,11.63
광진구,2022,일식음식점,318,35,11.01
광진구,2022,중식음식점,269,21,7.81
광진구,2022,치킨전문점,609,60,9.85
광진구,2022,커피-음료,682,104,15.25
광진구,2022,한식음식점,1952,191,9.78
광진구,2023,분식전문점,355,42,11.83
광진구,2023,양식음식점,291,54,18.56
광진구,2023,일식음식점,328,45,13.72
광진구,2023,중식음식점,276,30,10.87
광진구,2023,치킨전문점,582,49,8.42
광진구,2023,커피-음료,669,94,14.05
광진구,2023,한식음식점,1930,182,9.43
광진구,2024,분식전문점,336,38,11.31
광진구,2024,양식음식점,270,39,14.44
광진구,2024,일식음식점,330,32,9.7
광진구,2024,중식음식점,278,29,10.43
광진구,2024,치킨전문점,564,51,9.04
광진구,2024,커피-음료,646,102,15.79
광진구,2024,한식음식점,1942,183,9.42
구로구,2019,분식전문점,386,29,7.51
구로구,2019,양식음식점,106,15,14.15
구로구,2019,일식음식점,133,16,12.03
구로구,2019,중식음식점,344,35,10.17
구로구,2019,치킨전문점,763,59,7.73
구로구,2019,커피-음료,446,56,12.56
구로구,2019,한식음식점,2086,173,8.29
구로구,2020,분식전문점,394,36,9.14
구로구,2020,양식음식점,103,11,10.68
구로구,2020,일식음식점,141,13,9.22
구로구,2020,중식음식점,343,28,8.16
구로구,2020,치킨전문점,761,59,7.75
구로구,2020,커피-음료,477,40,8.39
구로구,2020,한식음식점,2085,162,7.77
구로구,2021,분식전문점,396,53,13.38
구로구,2021,양식음식점,107,17,15.89
구로구,2021,일식음식점,159,16,10.06
구로구,2021,중식음식점,362,36,9.94
구로구,2021,치킨전문점,755,113,14.97
구로구,2021,커피-음료,523,66,12.62
구로구,2021,한식음식점,2101,279,13.28
구로구,2022,분식전문점,365,43,11.78
구로구,2022,양식음식점,101,12,11.88
구로구,2022,일식음식점,166,17,10.24
구로구,2022,중식음식점,371,30,8.09
구로구,2022,치킨전문점,679,60,8.84
구로구,2022,커피-음료,531,57,10.73
