사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자,자치구,총승차인원,총하차인원,총유동인구
202604,1호선,동대문,699,14,10785,1967,9753,7375,17418,13644,24456,22675,23924,24410,21258,26218,22494,30301,25459,28382,28033,29074,30511,28286,32180,26937,33106,26447,32460,26370,29825,26605,22352,24061,19187,17858,16818,17126,12928,16118,6405,10780,1041,3359,1,337,0,0,0,0,20260503,종로구,421093,408344,829437
202604,1호선,동묘앞,203,10,3112,914,4394,6211,9605,12095,14958,25536,12939,18998,14720,25576,19202,33711,26877,36292,34388,40127,35673,35199,37934,30049,38700,23312,35402,17306,25564,14755,13591,10243,7443,7481,6015,7667,4231,7613,1525,5191,156,2421,0,332,0,0,0,0,20260503,종로구,346632,361039,707671
202604,1호선,서울역,714,53,11801,11865,39975,72460,124120,145403,198913,279565,142778,187193,118217,114425,124196,108812,137079,121466,129104,116620,111224,110661,142151,129197,162261,142775,241213,180281,275291,214078,153423,143870,113669,104289,114573,99237,80361,72872,42310,38093,4653,8780,23,247,0,0,0,0,20260503,중구,2468049,2402242,4870291
202604,1호선,시청,175,0,1917,6324,4110,33548,8007,86732,10826,232452,13735,100386,16190,52298,22657,49284,25550,43405,33789,41911,43631,32450,57055,29107,69751,27102,110573,28699,177907,26120,68668,13602,61915,9676,52328,8181,33132,6252,10897,3798,688,942,3,18,0,0,0,0,20260503,중구,823504,832287,1655791
202604,1호선,신설동,484,18,8846,2389,11861,10029,25480,28270,36825,56839,24621,34849,21713,22417,23008,20157,24021,20132,26422,21716,24707,20309,27148,22581,32058,24043,45356,28069,54778,34933,22758,25318,15726,18914,14135,18013,10342,15770,4525,10208,577,3008,2,2,0,0,0,0,20260503,동대문구,455393,437984,893377
202604,1호선,제기동,376,3,5425,2779,9886,11053,23549,21398,34107,41454,25272,32711,26289,37818,33607,44170,38268,45410,40919,47196,44361,43959,46142,37930,46086,35255,44026,29442,38090,29494,21682,19233,14306,13027,8868,12387,5846,10089,2259,6445,187,1786,0,0,0,0,0,0,20260503,동대문구,509551,523039,1032590
202604,1호선,종각,95,1,4061,6390,4833,37342,7861,133764,11586,289675,15114,154423,20768,69745,31905,66546,38138,57528,47613,56605,59965,45262,75610,42632,93806,44115,177965,51464,233075,52507,104511,26278,95309,15147,94463,11426,64802,7942,27592,5033,2113,1421,1,0,0,0,0,0,20260503,종로구,1211186,1175246,2386432
202604,1호선,종로3가,153,13,3988,4276,4594,15033,7635,30645,11316,67668,16517,64787,23343,56625,33319,67327,45317,64019,49529,58616,60202,52731,68530,46974,76752,45656,93597,44731,97005,43803,60200,24112,51537,14904,54756,11916,41526,9471,20568,6645,2349,2607,1,48,0,0,0,0,20260503,종로구,822734,732607,1555341
202604,1호선,종로5가,78,0,1965,5087,3487,21455,6927,48534,12207,100606,16701,68031,26856,59883,37731,64534,45231,55450,53361,54150,61911,49882,65237,42121,74586,40313,94918,36341,97022,33464,51324,19704,37276,11481,32479,8717,20487,6959,6126,4468,423,1092,0,2,0,0,0,0,20260503,종로구,746333,732274,1478607
202604,2호선,강남,151,10,7495,12369,19413,54996,46771,175488,69742,352373,58519,353952,61278,162217,78264,107011,94814,104305,110937,117214,122180,107577,147237,102882,174319,111677,273002,144913,344042,182546,230248,107511,176960,65224,185404,55767,160220,48004,70791,23892,12351,6946,1,148,0,0,0,0,20260503,강남구,2444139,2397022,4841161
202604,2호선,건대입구,302,7,14349,1840,24375,15262,62634,26693,101153,69729,70141,57196,47876,52897,44943,54294,53305,59613,58471,64942,60485,63862,65059,69993,73561,82858,86890,112460,98539,161290,75970,113850,77965,76020,83155,69442,78843,63600,47869,37832,8299,13264,16,1226,0,0,0,0,20260503,광진구,1234200,1268170,2502370
202604,2호선,구로디지털단지,324,23,40192,5659,58629,22081,153661,92526,202398,238313,124207,143632,78685,61770,68712,48408,77883,53841,74509,67905,66344,63363,75591,72327,91095,87532,144845,121728,210681,174159,105524,133244,64674,94929,51833,91635,39725,86465,18703,51223,3671,16024,6,407,0,0,0,0,20260503,구로구,1751892,1727194,3479086
202604,2호선,당산,35,7,9033,3270,21438,13852,57469,31810,65995,83590,42244,34153,30326,19523,28041,19878,29266,23314,27419,26701,25278,27184,26793,32135,32204,40765,48431,58973,62944,83337,30626,56450,24752,38653,24069,37415,19320,33634,9971,21321,1728,5205,3,168,0,0,0,0,20260503,영등포구,617385,691338,1308723
202604,2호선,도림천,3,0,443,260,1572,1056,4198,6009,3834,8154,2765,3366,2778,2109,3948,1954,3041,2081,2485,3007,2865,2966,3658,2951,3955,3144,4291,3611,4893,4535,2113,3212,1538,2312,1298,1955,771,1558,255,969,64,324,0,18,0,0,0,0,20260503,구로구,50768,55551,106319
202604,2호선,뚝섬,25,1,3941,2491,10796,16225,22508,48372,30668,157508,20701,108891,18458,52981,22196,44303,27565,44670,32300,44598,38499,40178,47432,41467,58321,42091,94544,46457,147175,55696,82123,33012,56255,19628,47191,16632,27499,14344,10280,8857,1694,2988,0,115,0,0,0,0,20260503,성동구,800171,841505,1641676
202604,2호선,문래,38,0,4325,3187,16509,13060,48521,44976,55821,145010,31731,64806,23736,27618,22571,24515,28189,27795,28357,29897,28710,27993,31543,30154,38659,36461,70775,47952,116108,70538,43718,46593,32808,26349,33613,22884,29644,19874,13277,11531,2500,4006,3,138,0,0,0,0,20260503,영등포구,701156,725337,1426493
202604,2호선,방배,2,0,3025,4058,10462,15026,25703,32800,34753,84710,28554,67952,21549,39698,23934,32283,27464,32200,29647,28089,35415,27558,40353,26270,47274,27404,59970,35138,68364,39382,32522,26938,25947,18403,24715,16942,20019,17150,7677,9270,1737,2864,5,23,0,1,0,0,20260503,서초구,569091,584159,1153250
202604,2호선,봉천,98,4,15755,1403,32853,7129,95352,14000,131305,29133,81883,23190,46307,21000,38479,22965,40656,25466,38802,28278,33134,31824,31453,41677,33735,48584,33961,63578,34531,98749,21882,79640,18164,51901,15297,47556,10874,44052,5067,25542,943,8770,2,272,0,0,0,0,20260503,관악구,760533,714713,1475246
202604,2호선,사당,97,4,13455,4276,34574,39170,90355,58425,113646,84945,85273,61396,56573,51583,53609,62721,60944,62893,63955,60663,68464,60191,69784,72885,74438,98385,91205,143492,113360,194561,78514,128075,76146,82549,81933,75896,71541,72776,40042,41032,7038,12653,11,895,0,0,0,0,20260503,동작구,1344957,1469466,2814423
202604,2호선,상왕십리,11,2,5972,1043,16257,6617,47748,12353,71680,32032,41222,19827,25959,14306,22164,14135,23525,15594,21853,18185,20008,19354,21096,23842,23226,29383,26611,40939,28624,60271,20500,40664,13785,27581,11297,25628,7676,23727,3149,13830,586,4911,0,32,0,0,0,0,20260503,성동구,452949,444256,897205
