업종,연도,평균_생존율
분식전문점,2019,32.57
분식전문점,2020,39.83
분식전문점,2021,41.11
분식전문점,2022,47.62
분식전문점,2023,56.76
분식전문점,2024,73.4
양식음식점,2019,41.7
양식음식점,2020,39.09
양식음식점,2021,41.57
양식음식점,2022,54.35
양식음식점,2023,65.46
양식음식점,2024,78.71
일식음식점,2019,46.51
일식음식점,2020,44.71
일식음식점,2021,52.06
일식음식점,2022,55.75
일식음식점,2023,70.12
일식음식점,2024,79.82
중식음식점,2019,49.23
중식음식점,2020,49.92
중식음식점,2021,49.64
중식음식점,2022,55.16
중식음식점,2023,61.09
중식음식점,2024,76.03
치킨전문점,2019,40.58
치킨전문점,2020,47.53
치킨전문점,2021,50.22
치킨전문점,2022,57.84
치킨전문점,2023,69.24
치킨전문점,2024,77.4
커피-음료,2019,33.86
커피-음료,2020,40.69
커피-음료,2021,50.66
커피-음료,2022,54.24
커피-음료,2023,64.36
커피-음료,2024,77.35
한식음식점,2019,40.35
한식음식점,2020,42.06
한식음식점,2021,46.77
한식음식점,2022,51.96
한식음식점,2023,61.65
한식음식점,2024,74.05
